epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9284,2.33156,14.8244,2.96235,0,0,0,0,1.72263,14.8919,2.6088,2.352e-05,2.352e-05,2.352e-05
2,36.6831,1.70686,13.945,2.33049,0,0,0,0,1.27706,14.2747,1.99229,4.76809e-05,4.76809e-05,4.76809e-05
3,55.7678,1.42313,13.0602,2.00679,0.11548,0.2671,0.13772,0.12129,1.19273,14.0083,1.86583,6.60206e-05,6.60206e-05,6.60206e-05
4,74.6154,1.2737,12.4528,1.91389,0.06643,0.40515,0.15238,0.12863,1.0654,13.8078,1.7904,7.85392e-05,7.85392e-05,7.85392e-05
5,94.2992,1.14613,11.9099,1.77325,0.03045,0.79859,0.16869,0.14883,0.84917,13.5441,1.70821,8.52365e-05,8.52365e-05,8.52365e-05
6,112.613,1.18546,11.6082,1.86092,0.02103,0.95026,0.1735,0.15106,0.89716,13.4915,1.67662,8.61126e-05,8.61126e-05,8.61126e-05
7,131.746,1.12058,11.2973,1.80035,0.01642,0.98889,0.20195,0.1805,0.94587,13.3617,1.68707,8.11675e-05,8.11675e-05,8.11675e-05
8,150.903,1.12049,10.8649,1.80871,0.01577,0.98889,0.24104,0.21505,0.94339,13.2584,1.6664,7.04012e-05,7.04012e-05,7.04012e-05
9,174.295,1.12149,10.5132,1.83054,0.01508,0.98889,0.26388,0.2394,0.88048,13.0798,1.63523,5.38138e-05,5.38138e-05,5.38138e-05
10,192.829,1.14095,10.3467,1.76477,0.01507,0.98889,0.28671,0.26212,0.87812,12.9961,1.6354,3.14051e-05,3.14051e-05,3.14051e-05
